#Time	QueueSize
1	1
1	0
1.10005	1
1.10005	0
1.20009	1
1.20009	0
1.30014	1
1.30014	0
1.40019	1
1.40019	0
1.40019	1
1.40019	2
1.40019	3
1.40019	4
1.40019	5
1.40019	6
1.40019	7
1.40019	8
1.40019	9
1.40019	10
1.40023	9
1.4007	8
1.40117	7
1.40164	6
1.40212	5
1.40259	4
1.40306	3
1.40353	2
1.404	1
1.40448	0
1.50023	1
1.50023	0
1.5007	1
1.5007	0
1.50117	1
1.50117	0
1.50164	1
1.50164	0
1.50212	1
1.50212	0
1.50259	1
1.50259	0
1.50306	1
1.50306	0
1.50353	1
1.50353	0
1.504	1
1.504	0
1.50448	1
1.50448	0
1.50495	1
1.50495	0
1.60117	1
1.60117	0
1.60212	1
1.60212	0
1.60306	1
1.60306	0
1.604	1
1.604	0
1.60495	1
1.60495	0
1.70122	1
1.70122	0
1.70216	1
1.70216	0
1.7031	1
1.7031	0
1.70405	1
1.70405	0
1.70499	1
1.70499	0
1.80126	1
1.80126	0
1.80126	1
1.80173	0
1.8022	1
1.8022	2
1.8022	3
1.8022	2
1.80268	1
1.80315	2
1.80315	3
1.80315	4
1.80315	3
1.80362	2
1.80409	3
1.80409	4
1.80409	5
1.80409	4
1.80456	3
1.80504	4
1.80504	5
1.80504	6
1.80504	5
1.80542	6
1.80542	5
1.80551	4
1.80598	3
1.80645	2
1.80692	1
1.8074	0
1.90173	1
1.90173	0
1.9022	1
1.9022	0
1.90268	1
1.90268	0
1.90315	1
1.90315	0
1.90362	1
1.90362	0
1.90409	1
1.90409	0
1.90456	1
1.90456	0
1.90504	1
1.90504	0
1.90546	1
1.90546	0
1.90551	1
1.90551	0
1.90598	1
1.90598	0
1.90645	1
1.90645	0
1.90692	1
1.90692	0
1.9074	1
1.9074	0
1.90787	1
1.90787	0
2.00268	1
2.00268	0
2.00362	1
2.00362	0
2.00456	1
2.00456	0
2.00551	1
2.00551	0
2.00551	1
2.00551	0
2.00551	1
2.00598	0
2.00645	1
2.00645	0
2.0074	1
2.0074	0
2.00834	1
2.00834	0
2.10272	1
2.10272	0
2.10366	1
2.10366	0
2.10461	1
2.10461	0
2.10555	1
2.10555	0
2.10598	1
2.10598	0
2.10645	1
2.10645	0
2.10649	1
2.10649	0
2.10744	1
2.10744	0
2.10838	1
2.10838	0
2.20276	1
2.20276	0
2.20276	1
2.20276	2
2.20323	1
2.20371	2
2.20371	3
2.20371	4
2.20371	3
2.20418	2
2.20465	3
2.20465	4
2.20465	5
2.20465	4
2.20512	3
2.20559	4
2.20559	5
2.20559	6
2.20559	5
2.20607	4
2.20654	5
2.20654	6
2.20654	7
2.20654	6
2.20692	7
2.20692	6
2.20701	5
2.20748	6
2.20748	7
2.20748	8
2.20748	7
2.20795	6
2.20843	7
2.20843	8
2.20843	9
2.20843	8
2.2089	7
2.20937	6
2.20984	5
2.21031	4
2.21079	3
2.21126	2
2.21173	1
2.2122	0
2.30323	1
2.30323	0
2.30371	1
2.30371	0
2.30418	1
2.30418	0
2.30465	1
2.30465	0
2.30512	1
2.30512	0
2.30559	1
2.30559	0
2.30607	1
2.30607	0
2.30654	1
2.30654	0
2.30697	1
2.30697	0
2.30701	1
2.30701	0
2.30748	1
2.30748	0
2.30795	1
2.30795	0
2.30843	1
2.30843	0
2.3089	1
2.3089	0
2.30937	1
2.30937	0
2.30984	1
2.30984	0
2.31031	1
2.31031	0
2.31079	1
2.31079	0
2.31126	1
2.31126	0
2.31173	1
2.31173	0
2.3122	1
2.3122	0
2.31267	1
2.31267	0
2.40418	1
2.40418	0
2.40512	1
2.40512	0
2.40607	1
2.40607	0
2.40701	1
2.40701	0
2.40701	1
2.40701	0
2.40701	1
2.40701	2
2.40748	1
2.40795	2
2.40795	1
2.40795	0
2.4089	1
2.4089	0
2.40984	1
2.40984	0
2.41079	1
2.41079	0
2.41173	1
2.41173	0
2.41267	1
2.41267	0
2.50422	1
2.50422	0
2.50516	1
2.50516	0
2.50611	1
2.50611	0
2.50705	1
2.50705	0
2.50748	1
2.50748	0
2.50795	1
2.50795	0
2.508	1
2.508	0
2.50843	1
2.50843	0
2.50894	1
2.50894	0
2.50988	1
2.50988	0
2.51083	1
2.51083	0
2.51177	1
2.51177	0
2.51272	1
2.51272	0
2.60426	1
2.60426	0
2.60426	1
2.60426	2
2.60474	1
2.60521	2
2.60521	3
2.60521	4
2.60521	3
2.60568	2
2.60615	3
2.60615	4
2.60615	5
2.60615	4
2.60662	3
2.6071	4
2.6071	5
2.6071	6
2.6071	5
2.60757	4
2.60795	5
2.60795	4
2.60804	5
2.60804	6
2.60804	7
2.60804	6
2.60851	5
2.6089	6
2.6089	5
2.60898	6
2.60898	7
2.60898	8
2.60898	7
2.60946	6
2.60993	7
2.60993	8
2.60993	9
2.60993	8
2.6104	7
2.61087	8
2.61087	9
2.61087	10
2.61087	9
2.61134	8
2.61182	9
2.61182	10
2.61182	11
2.61182	10
2.61229	9
2.61276	10
2.61276	11
2.61276	12
2.61276	11
2.61323	10
2.6137	9
2.61418	8
2.61465	7
2.61512	6
2.61559	5
2.61606	4
2.61654	3
2.61701	2
2.61748	1
2.61795	0
2.70474	1
2.70474	0
2.70521	1
2.70521	0
2.70568	1
2.70568	0
2.70615	1
2.70615	0
2.70662	1
2.70662	0
2.7071	1
2.7071	0
2.70757	1
2.70757	0
2.708	1
2.708	0
2.70804	1
2.70804	0
2.70851	1
2.70851	0
2.70894	1
2.70894	0
2.70898	1
2.70898	0
2.70946	1
2.70946	0
2.70993	1
2.70993	0
2.7104	1
2.7104	0
2.71087	1
2.71087	0
2.71134	1
2.71134	0
2.71182	1
2.71182	0
2.71229	1
2.71229	0
2.71276	1
2.71276	0
2.71323	1
2.71323	0
2.7137	1
2.7137	0
2.71418	1
2.71418	0
2.71465	1
2.71465	0
2.71512	1
2.71512	0
2.71559	1
2.71559	0
2.71606	1
2.71606	0
2.71654	1
2.71654	0
2.71701	1
2.71701	0
2.71748	1
2.71748	0
2.71795	1
2.71795	0
2.71842	1
2.71842	0
2.80568	1
2.80568	0
2.80662	1
2.80662	0
2.80757	1
2.80757	0
2.80804	1
2.80804	0
2.80804	1
2.80804	2
2.80851	3
2.80851	2
2.80851	1
2.80898	2
2.80898	3
2.80898	4
2.80898	3
2.80946	4
2.80946	3
2.80946	2
2.80993	1
2.8104	2
2.8104	1
2.8104	0
2.81134	1
2.81134	0
2.81229	1
2.81229	0
2.81323	1
2.81323	0
2.81418	1
2.81418	0
2.81512	1
2.81512	0
2.81606	1
2.81606	0
2.81701	1
2.81701	0
2.81795	1
2.81795	0
2.8189	1
2.8189	0
2.90572	1
2.90572	0
2.90667	1
2.90667	0
2.90761	1
2.90761	0
2.90851	1
2.90851	0
2.90856	1
2.90856	0
2.90898	1
2.90898	0
2.90946	1
2.90946	0
2.9095	1
2.9095	0
2.90993	1
2.90993	0
2.9104	1
2.9104	0
2.91044	1
2.91044	0
2.91087	1
2.91087	0
2.91139	1
2.91139	0
2.91233	1
2.91233	0
2.91328	1
2.91328	0
2.91422	1
2.91422	0
2.91516	1
2.91516	0
2.91611	1
2.91611	0
2.91705	1
2.91705	0
2.918	1
2.918	0
2.91894	1
2.91894	0
3.00577	1
3.00577	0
3.00577	1
3.00577	2
3.00624	1
3.00671	2
3.00671	3
3.00671	4
3.00671	3
3.00718	2
3.00765	3
3.00765	4
3.00765	5
3.00765	4
3.00813	3
3.0086	4
3.0086	5
3.0086	6
3.0086	5
3.00907	4
3.00946	5
3.00946	4
3.00954	5
3.00954	6
3.00954	7
3.00954	6
3.01001	5
3.0104	6
3.0104	5
3.01049	6
3.01049	7
3.01049	8
3.01049	7
3.01096	6
3.01134	7
3.01134	6
3.01143	7
3.01143	8
3.01143	9
3.01143	8
3.0119	7
3.01237	8
3.01237	9
3.01237	10
3.01237	9
3.01285	8
3.01332	9
3.01332	10
3.01332	11
3.01332	10
3.01379	9
3.01426	10
3.01426	11
3.01426	12
3.01426	11
3.01473	10
3.01521	11
3.01521	12
3.01521	13
3.01521	12
3.01568	11
3.01615	12
3.01615	13
3.01615	14
3.01615	13
3.01662	12
3.01709	13
3.01709	14
3.01709	15
3.01709	14
3.01757	13
3.01804	14
3.01804	15
3.01804	16
3.01804	15
3.01851	14
3.01898	15
3.01898	16
3.01898	17
3.01898	16
3.01945	15
3.01993	14
3.0204	13
