#Time	QueueSize
2.19218	1
2.19259	0
2.19265	1
2.19313	2
2.19326	1
2.1936	2
2.19393	1
2.19461	0
2.20259	1
2.20259	0
2.20393	1
2.20393	0
2.20528	1
2.20528	0
2.20777	1
2.20777	0
2.20824	1
2.20844	0
2.20871	1
2.20912	0
2.20918	1
2.20966	2
2.20979	1
2.21013	2
2.21047	1
2.2106	2
2.21107	3
2.21114	2
2.21154	3
2.21181	2
2.21202	3
2.21249	4
2.21249	3
2.21265	4
2.21265	3
2.21296	4
2.21316	3
2.21343	4
2.21384	3
2.2139	4
2.214	5
2.214	4
2.21438	5
2.21451	4
2.21485	5
2.21519	4
2.21532	5
2.21534	6
2.21534	5
2.21579	6
2.21586	5
2.21626	6
2.21653	5
2.21674	6
2.21721	7
2.21721	6
2.21768	7
2.21788	6
2.21815	7
2.21856	6
2.21862	7
2.2191	8
2.21912	9
2.21912	8
2.21923	7
2.21957	8
2.21991	7
2.22004	8
2.22047	9
2.22047	8
2.22051	9
2.22058	8
2.22098	9
2.22125	8
2.22146	9
2.22181	10
2.22181	9
2.22193	10
2.22193	9
2.2224	10
2.2226	9
2.22287	10
2.22316	11
2.22316	10
2.22328	9
2.22334	10
2.22382	11
2.22395	10
2.22429	11
2.22451	12
2.22451	11
2.22463	10
2.22476	11
2.22523	12
2.2253	11
2.2257	12
2.22586	13
2.22586	12
2.22597	11
2.22618	12
2.22665	13
2.22665	12
2.22712	13
2.22721	14
2.22721	13
2.22732	12
2.22759	13
2.228	12
2.22806	13
2.22854	14
2.22856	15
2.22856	14
2.22867	13
2.22918	14
2.22918	13
2.22935	12
2.22991	13
2.22991	12
2.23002	11
2.23053	12
2.23053	11
2.23069	10
2.23125	11
2.23125	10
2.23137	9
2.23188	10
2.23188	9
2.23204	8
2.2326	9
2.2326	8
2.23272	7
2.23322	8
2.23322	7
2.23339	6
2.23395	7
2.23395	6
2.23407	5
2.23457	6
2.23457	5
2.23474	4
2.2353	5
2.2353	4
2.23541	3
2.23592	4
2.23592	3
2.23609	2
2.23665	3
2.23665	2
2.23676	1
2.23727	2
2.23727	1
2.23744	0
2.238	1
2.238	0
2.23862	1
2.23862	0
2.23935	1
2.23935	0
2.23997	1
2.23997	0
2.24069	1
2.24069	0
2.24132	1
2.24132	0
2.24204	1
2.24204	0
2.24266	1
2.24266	0
2.24339	1
2.24339	0
2.24401	1
2.24401	0
2.24474	1
2.24474	0
2.24536	1
2.24536	0
2.24609	1
2.24609	0
2.24671	1
2.24671	0
2.24744	1
2.24744	0
2.24806	1
2.24806	0
2.24941	1
2.24941	0
2.25076	1
2.25076	0
2.2521	1
2.2521	0
2.25345	1
2.25345	0
2.2548	1
2.2548	0
2.25615	1
2.25615	0
2.2575	1
2.2575	0
2.31269	1
2.31269	0
2.31269	1
2.31269	2
2.31316	1
2.31363	0
2.31404	1
2.31404	2
2.31404	3
2.31411	2
2.31458	1
2.31505	0
2.31539	1
2.31539	2
2.31539	3
2.31552	2
2.31599	1
2.31647	0
2.32922	1
2.32922	0
2.32922	1
2.32922	2
2.32969	1
2.33017	0
2.33057	1
2.33057	2
2.33057	3
2.33064	2
2.33111	1
2.33158	0
2.33192	1
2.33192	2
2.33192	3
2.33205	2
2.33253	1
2.333	0
2.33327	1
2.33327	2
2.33327	3
2.33347	2
2.33394	1
2.33441	0
2.33462	1
2.33462	2
2.33462	3
2.33489	2
2.33536	1
2.33583	0
2.33596	1
2.33596	2
2.33596	3
2.3363	2
2.33677	1
2.33725	0
2.33731	1
2.33731	2
2.33731	3
2.33772	2
2.33819	1
2.33866	0
2.33866	1
2.33866	2
2.33866	3
2.33913	2
2.33961	1
2.34001	2
2.34001	3
2.34001	4
2.34008	3
2.34055	2
2.34102	1
2.34136	2
2.34136	3
2.34136	4
2.34149	3
2.34197	2
2.34244	1
2.34271	2
2.34271	3
2.34271	4
2.34291	3
2.34338	2
2.34385	1
2.34406	2
2.34406	3
2.34406	4
2.34433	3
2.3448	2
2.34527	1
2.3454	2
2.3454	3
2.3454	4
2.34574	3
2.34621	2
2.34669	1
2.34675	2
2.34675	3
2.34675	4
2.34716	3
2.34763	2
2.3481	1
2.3481	2
2.3481	3
2.3481	4
2.34857	3
2.34905	2
2.34945	3
2.34945	4
2.34945	5
2.34952	4
2.34999	3
2.35046	2
2.3508	3
2.3508	4
2.3508	5
2.35093	4
2.35141	3
2.35188	2
2.35215	3
2.35215	4
2.35215	5
2.35235	4
2.35282	3
2.35329	2
2.3535	3
2.3535	4
2.3535	5
2.35377	4
2.35424	3
2.35471	2
2.35484	3
2.35484	4
2.35484	5
2.35518	4
2.35565	3
2.35613	2
2.35619	3
2.35619	4
2.35619	5
2.3566	4
2.35707	3
2.35754	2
2.35754	3
2.35754	4
2.35754	5
2.35801	4
2.35849	3
2.35896	2
2.35943	1
2.3599	0
2.41316	1
2.41316	0
2.41363	1
2.41384	0
2.41411	1
2.41451	0
2.41458	1
2.41505	2
2.41519	1
2.41552	2
2.41586	1
2.41599	2
2.41647	3
2.41653	2
2.41694	3
2.41721	2
2.41788	1
2.41856	0
2.42384	1
2.42384	0
2.42519	1
2.42519	0
2.42653	1
2.42653	0
2.42788	1
2.42788	0
2.42923	1
2.42923	0
2.42969	1
2.42969	0
2.43017	1
2.43037	0
2.43064	1
2.43104	0
2.43111	1
2.43158	2
2.43172	1
2.43205	2
2.43239	1
2.43253	2
2.433	3
2.43307	2
2.43347	3
2.43374	2
2.4339	3
2.4339	2
2.43394	3
2.43441	4
2.43441	3
2.43489	4
2.43509	3
2.43525	4
2.43525	3
2.43536	4
2.43576	3
2.43583	4
2.4363	5
2.43644	4
2.4366	5
2.4366	4
2.43677	5
2.43711	4
2.43725	5
2.43772	6
2.43779	5
2.43794	6
2.43794	5
2.43819	6
2.43846	5
2.43866	6
2.43913	7
2.43913	6
2.43929	7
2.43929	6
2.43961	7
2.43981	6
2.44008	7
2.44048	6
2.44055	7
2.44102	8
2.44104	9
2.44104	8
2.44116	7
2.44149	8
2.44183	7
2.44197	8
2.44239	9
2.44239	8
2.44244	9
2.44251	8
2.44291	9
2.44318	8
2.44338	9
2.44374	10
2.44374	9
2.44385	10
2.44385	9
2.44433	10
2.44453	9
2.4448	10
2.44509	11
2.44509	10
2.4452	9
2.44527	10
2.44574	11
2.44588	10
2.44621	11
2.44644	12
2.44644	11
2.44655	10
2.44669	11
2.44716	12
2.44723	11
2.44763	12
2.44779	13
2.44779	12
2.4479	11
2.4481	12
2.44857	13
2.44857	12
2.44905	13
2.44913	14
2.44913	13
2.44925	12
2.44952	13
2.44992	12
2.44999	13
2.45046	14
2.45048	15
2.45048	14
2.4506	13
2.45093	14
2.4511	15
2.4511	14
2.45127	13
2.45141	14
2.45183	15
2.45183	14
2.45188	15
2.45195	14
2.45235	15
2.45245	16
2.45245	15
2.45262	14
2.45282	15
2.45318	16
2.45318	15
2.45329	16
2.45329	15
2.45377	16
2.4538	17
2.4538	16
